FRONT_RADIATOR=1
TEMP_MIN=15
TEMP_MAX=50
REAL_MIN_DUTYCYCLE=0.70
REAL_MAX_DUTYCYCLE=1
DEACTIVATION_RATIO=1.25
cooldown=64

TIMESTEP_MAIN=5
TIMESTEP_UPDATE=15

SLOPE_INTERVAL=5
SLOPE_LENGTH=30
SLOPE_THRESHOLD=1
n_samples_fine=6
slope_samples_per_min=12
slope_max_per_sample=0.08

AVERAGING_INTERVAL=15
AVERAGING_LENGTH=900
n_samples_course=60

secondsElapsed,mem,status,cooldown,tempRadiator,tempAmbient,tempSlope,tempRatio,tempStop,tempRadAverage,tempAmbAverage,dutyCyclesa
12312, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.25, 18.98, 0, u.s.s.sa
12329, 263, 2, 0, 20.12, 18.94, 0, 0.09, 23.73, 20.25, 18.98, 0, u.s.s.sa
12346, 263, 2, 0, 20.12, 18.94, 0, 0.09, 23.73, 20.24, 18.98, 0, u.s.s.sa
12363, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.23, 18.98, 0, u.s.s.sa
12381, 263, 2, 0, 20.12, 18.94, 0, 0.09, 23.73, 20.23, 18.98, 0, u.s.s.sa
12398, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.22, 18.98, 0, u.s.s.sa
12415, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.22, 18.98, 0, u.s.s.sa
12432, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.22, 18.98, 0, u.s.s.sa
12450, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.21, 18.98, 0, u.s.s.sa
12467, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.73, 20.21, 18.98, 0, u.s.s.sa
12484, 263, 2, 0, 20.06, 18.87, 0, 0.09, 23.72, 20.20, 18.98, 0, u.s.s.sa
12501, 263, 2, 0, 20.06, 18.94, 0, 0.09, 23.72, 20.20, 18.98, 0, u.s.s.sa
12519, 263, 2, 0, 20.06, 18.87, 0, 0.09, 23.72, 20.19, 18.98, 0, u.s.s.sa
12536, 263, 2, 0, 20.06, 18.87, 0, 0.09, 23.72, 20.19, 18.97, 0, u.s.s.sa
12553, 263, 2, 0, 20, 18.87, -0.02, 0.09, 23.71, 20.18, 18.97, 0, u.s.s.sa
12570, 263, 2, 0, 20.06, 18.87, -0.01, 0.09, 23.71, 20.18, 18.97, 0, u.s.s.sa
12587, 263, 2, 0, 20.06, 18.87, -0.00, 0.09, 23.71, 20.17, 18.97, 0, u.s.s.sa
12605, 263, 2, 0, 20, 18.87, 0, 0.09, 23.71, 20.17, 18.96, 0, u.s.s.sa
12622, 263, 2, 0, 20, 18.87, -0.02, 0.09, 23.70, 20.16, 18.96, 0, u.s.s.sa
12639, 263, 2, 0, 20, 18.87, 0, 0.09, 23.70, 20.15, 18.96, 0, u.s.s.sa
12656, 263, 2, 0, 20, 18.87, 0, 0.09, 23.70, 20.14, 18.96, 0, u.s.s.sa
12674, 263, 2, 0, 20, 18.87, 0, 0.09, 23.69, 20.14, 18.96, 0, u.s.s.sa
12691, 263, 2, 0, 20, 18.87, 0, 0.09, 23.69, 20.13, 18.95, 0, u.s.s.sa
12708, 263, 2, 0, 20, 18.87, 0, 0.09, 23.69, 20.12, 18.95, 0, u.s.s.sa
12725, 263, 2, 0, 20, 18.87, 0, 0.09, 23.69, 20.12, 18.95, 0, u.s.s.sa
12743, 263, 2, 0, 20, 18.87, 0, 0.09, 23.68, 20.11, 18.95, 0, u.s.s.sa
12760, 263, 2, 0, 20, 18.87, 0, 0.09, 23.68, 20.11, 18.94, 0, u.s.s.sa
12777, 263, 2, 0, 20, 18.87, 0, 0.09, 23.68, 20.10, 18.94, 0, u.s.s.sa
12794, 263, 2, 0, 20, 18.87, 0, 0.09, 23.67, 20.10, 18.94, 0, u.s.s.sa
12812, 263, 2, 0, 20, 18.87, 0, 0.09, 23.67, 20.09, 18.94, 0, u.s.s.sa
12829, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.67, 20.09, 18.93, 0, u.s.s.sa
12846, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.67, 20.09, 18.93, 0, u.s.s.sa
12863, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.66, 20.08, 18.93, 0, u.s.s.sa
12881, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.66, 20.08, 18.93, 0, u.s.s.sa
12898, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.66, 20.07, 18.93, 0, u.s.s.sa
12915, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.65, 20.07, 18.92, 0, u.s.s.sa
12932, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.65, 20.06, 18.92, 0, u.s.s.sa
12950, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.65, 20.06, 18.92, 0, u.s.s.sa
12967, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.65, 20.05, 18.92, 0, u.s.s.sa
12984, 263, 2, 0, 19.94, 18.87, 0, 0.09, 23.64, 20.05, 18.91, 0, u.s.s.sa
13001, 263, 2, 0, 19.94, 18.81, 0, 0.09, 23.64, 20.04, 18.91, 0, u.s.s.sa
13019, 263, 2, 0, 19.94, 18.81, 0, 0.09, 23.64, 20.04, 18.91, 0, u.s.s.sa
13036, 263, 2, 0, 19.94, 18.81, 0, 0.09, 23.63, 20.03, 18.91, 0, u.s.s.sa
13053, 263, 2, 0, 19.94, 18.81, 0, 0.09, 23.63, 20.03, 18.90, 0, u.s.s.sa
13070, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.63, 20.03, 18.90, 0, u.s.s.sa
13088, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.63, 20.02, 18.90, 0, u.s.s.sa
13105, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.62, 20.02, 18.90, 0, u.s.s.sa
13122, 263, 2, 0, 19.87, 18.87, 0, 0.09, 23.62, 20.01, 18.90, 0, u.s.s.sa
13139, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.62, 20.01, 18.89, 0, u.s.s.sa
13157, 263, 2, 0, 19.87, 18.87, 0, 0.09, 23.61, 20.00, 18.89, 0, u.s.s.sa
13174, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.61, 20.00, 18.89, 0, u.s.s.sa
13191, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.61, 20.00, 18.89, 0, u.s.s.sa
13208, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.61, 19.99, 18.88, 0, u.s.s.sa
13226, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.60, 19.99, 18.88, 0, u.s.s.sa
13243, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.60, 19.99, 18.88, 0, u.sa
13249, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.60, 19.99, 18.88, 0, u.s.s.sa
13266, 263, 2, 0, 19.87, 18.81, 0, 0.09, 23.59, 19.98, 18.88, 0, u.s.s.sa
13283, 263, 2, 0, 19.81, 18.81, -0.04, 0.09, 23.59, 19.98, 18.87, 0, u.s.s.sa
13300, 263, 2, 0, 19.81, 18.81, 0.01, 0.09, 23.59, 19.98, 18.87, 0, u.s.s.sa
13318, 263, 2, 0, 19.81, 18.81, -0.01, 0.09, 23.59, 19.97, 18.87, 0, u.s.s.sa
13335, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.58, 19.97, 18.87, 0, u.s.s.sa
13352, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.58, 19.96, 18.86, 0, u.s.s.sa
13369, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.58, 19.96, 18.86, 0, u.s.s.sa
13387, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.57, 19.95, 18.86, 0, u.s.s.sa
13404, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.57, 19.95, 18.86, 0, u.s.s.sa
13421, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.57, 19.94, 18.85, 0, u.s.s.sa
13438, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.57, 19.94, 18.85, 0, u.s.s.sa
13456, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.56, 19.93, 18.85, 0, u.s.s.sa
13473, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.56, 19.93, 18.85, 0, u.s.s.sa
13490, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.56, 19.93, 18.85, 0, u.s.s.sa
13507, 263, 2, 0, 19.81, 18.81, 0, 0.09, 23.56, 19.92, 18.85, 0, u.s.s.sa
13524, 263, 2, 0, 19.81, 18.75, 0, 0.09, 23.55, 19.92, 18.84, 0, u.s.s.sa
13542, 263, 2, 0, 19.81, 18.75, 0, 0.09, 23.55, 19.91, 18.84, 0, u.s.s.sa
13559, 263, 2, 0, 19.75, 18.81, 0, 0.09, 23.55, 19.91, 18.84, 0, u.s.s.sa
13576, 263, 2, 0, 19.75, 18.81, 0, 0.09, 23.55, 19.90, 18.84, 0, u.s.s.sa
13593, 263, 2, 0, 19.75, 18.81, 0, 0.09, 23.55, 19.90, 18.84, 0, u.s.s.sa
13611, 263, 2, 0, 19.75, 18.81, 0, 0.09, 23.55, 19.90, 18.84, 0, u.s.s.sa
13628, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.55, 19.89, 18.84, 0, u.s.s.sa
13645, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.54, 19.89, 18.83, 0, u.s.s.sa
13662, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.54, 19.89, 18.83, 0, u.s.s.sa
13680, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.54, 19.89, 18.83, 0, u.s.s.sa
13697, 263, 2, 0, 19.75, 18.81, 0, 0.09, 23.54, 19.88, 18.83, 0, u.s.s.sa
13714, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.53, 19.88, 18.83, 0, u.s.s.sa
13731, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.53, 19.88, 18.82, 0, u.s.s.sa
13749, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.53, 19.88, 18.82, 0, u.s.s.sa
13766, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.53, 19.87, 18.82, 0, u.s.s.sa
13783, 263, 2, 0, 19.75, 18.75, 0, 0.09, 23.52, 19.87, 18.82, 0, u.s.s.sa
13800, 263, 2, 0, 19.69, 18.75, -0.04, 0.09, 23.52, 19.87, 18.82, 0, u.s.s.sa
13818, 263, 2, 0, 19.69, 18.75, 0.02, 0.09, 23.52, 19.86, 18.81, 0, u.s.s.sa
13835, 263, 2, 0, 19.69, 18.75, -0.03, 0.09, 23.51, 19.86, 18.81, 0, u.s.s.sa
13852, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.51, 19.85, 18.81, 0, u.s.s.sa
13869, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.51, 19.85, 18.81, 0, u.s.s.sa
13887, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.51, 19.85, 18.80, 0, u.s.s.sa
13904, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.50, 19.84, 18.80, 0, u.s.s.sa
13921, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.50, 19.84, 18.80, 0, u.s.s.sa
13938, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.50, 19.83, 18.80, 0, u.s.s.sa
13956, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.49, 19.83, 18.80, 0, u.s.s.sa
13973, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.49, 19.82, 18.79, 0, u.s.s.sa
13990, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.49, 19.82, 18.79, 0, u.s.s.sa
14007, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.49, 19.81, 18.79, 0, u.s.s.sa
14025, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.48, 19.81, 18.79, 0, u.s.s.sa
14042, 263, 2, 0, 19.62, 18.75, 0, 0.09, 23.48, 19.80, 18.78, 0, u.s.s.sa
14059, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.48, 19.80, 18.78, 0, u.s.s.sa
14076, 263, 2, 0, 19.69, 18.75, 0, 0.09, 23.47, 19.79, 18.78, 0, u.s.s.sa
14094, 263, 2, 0, 19.62, 18.75, 0, 0.09, 23.47, 19.79, 18.78, 0, u.s.s.sa
14111, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.47, 19.79, 18.77, 0, u.s.s.sa
14128, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.47, 19.78, 18.77, 0, u.s.s.sa
14145, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.46, 19.78, 18.77, 0, u.s.s.sa
14163, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.46, 19.77, 18.77, 0, u.s.s.sa
14180, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.46, 19.77, 18.77, 0, u.s.s.sa
14197, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.45, 19.76, 18.76, 0, u.s.s.sa
14214, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.45, 19.76, 18.76, 0, u.s.s.sa
14232, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.45, 19.75, 18.76, 0, u.s.s.sa
14249, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.45, 19.75, 18.76, 0, u.s.s.sa
14266, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.44, 19.74, 18.75, 0, u.s.s.sa
14283, 263, 2, 0, 19.62, 18.69, 0, 0.09, 23.44, 19.74, 18.75, 0, u.s.s.sa
14301, 263, 2, 0, 19.62, 18.69, -0.01, 0.09, 23.44, 19.74, 18.75, 0, u.s.s.sa
14318, 263, 2, 0, 19.56, 18.69, -0.01, 0.09, 23.43, 19.73, 18.75, 0, u.s.s.sa
14335, 263, 2, 0, 19.56, 18.69, -0.02, 0.09, 23.43, 19.73, 18.74, 0, u.s.s.sa
14352, 263, 2, 0, 19.62, 18.69, -0.01, 0.09, 23.43, 19.72, 18.74, 0, u.s.s.sa
14370, 263, 2, 0, 19.56, 18.69, -0.02, 0.09, 23.43, 19.72, 18.74, 0, u.s.s.sa
14387, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.42, 19.71, 18.74, 0, u.s.s.sa
14404, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.42, 19.71, 18.74, 0, u.s.s.sa
14421, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.42, 19.71, 18.73, 0, u.s.s.sa
14439, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.41, 19.70, 18.73, 0, u.s.s.sa
14456, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.41, 19.70, 18.73, 0, u.s.s.sa
14473, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.41, 19.69, 18.73, 0, u.s.s.sa
14490, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.41, 19.69, 18.72, 0, u.s.s.sa
14507, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.40, 19.68, 18.72, 0, u.s.s.sa
14525, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.40, 19.68, 18.72, 0, u.s.s.sa
14542, 263, 2, 0, 19.56, 18.62, 0, 0.09, 23.39, 19.67, 18.72, 0, u.s.s.sa
14559, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.39, 19.67, 18.72, 0, u.s.s.sa
14576, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.39, 19.66, 18.72, 0, u.s.s.sa
14594, 263, 2, 0, 19.56, 18.69, 0, 0.09, 23.39, 19.66, 18.71, 0, u.s.s.sa
14611, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.39, 19.66, 18.71, 0, u.s.s.sa
14628, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.38, 19.65, 18.70, 0, u.s.s.sa
14645, 263, 2, 0, 19.50, 18.69, 0, 0.09, 23.38, 19.65, 18.70, 0, u.s.s.sa
14663, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.37, 19.64, 18.70, 0, u.s.s.sa
14680, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.37, 19.64, 18.70, 0, u.s.s.sa
14697, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.37, 19.63, 18.69, 0, u.s.s.sa
14714, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.37, 19.63, 18.69, 0, u.sa
14720, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.36, 19.62, 18.69, 0, u.s.s.sa
14737, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.36, 19.62, 18.69, 0, u.s.s.sa
14755, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.35, 19.61, 18.68, 0, u.s.s.sa
14772, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.35, 19.61, 18.68, 0, u.s.s.sa
14789, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.35, 19.60, 18.68, 0, u.s.s.sa
14806, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.35, 19.60, 18.68, 0, u.s.s.sa
14824, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.34, 19.60, 18.67, 0, u.s.s.sa
14841, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.34, 19.60, 18.67, 0, u.s.s.sa
14858, 263, 2, 0, 19.50, 18.62, 0, 0.09, 23.34, 19.59, 18.67, 0, u.s.s.sa
14875, 263, 2, 0, 19.44, 18.62, -0.02, 0.09, 23.33, 19.59, 18.67, 0, u.s.s.sa
14893, 263, 2, 0, 19.50, 18.62, 0.00, 0.09, 23.33, 19.59, 18.66, 0, u.s.s.sa
14910, 263, 2, 0, 19.44, 18.62, -0.03, 0.09, 23.33, 19.58, 18.66, 0, u.s.s.sa
14927, 263, 2, 0, 19.44, 18.62, -0.02, 0.09, 23.33, 19.58, 18.66, 0, u.s.s.sa
14944, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.32, 19.57, 18.66, 0, u.s.s.sa
14962, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.32, 19.57, 18.66, 0, u.s.s.sa
14979, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.32, 19.56, 18.65, 0, u.s.s.sa
14996, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.31, 19.56, 18.65, 0, u.s.s.sa
15013, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.31, 19.55, 18.65, 0, u.s.s.sa
15031, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.31, 19.55, 18.65, 0, u.s.s.sa
15048, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.31, 19.55, 18.64, 0, u.s.s.sa
15065, 263, 2, 0, 19.44, 18.56, 0, 0.09, 23.30, 19.54, 18.64, 0, u.s.s.sa
15082, 263, 2, 0, 19.44, 18.56, 0, 0.09, 23.30, 19.54, 18.64, 0, u.s.s.sa
15100, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.30, 19.53, 18.64, 0, u.s.s.sa
15117, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.29, 19.53, 18.63, 0, u.s.s.sa
15134, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.29, 19.52, 18.63, 0, u.s.s.sa
15151, 263, 2, 0, 19.44, 18.56, 0, 0.09, 23.29, 19.52, 18.63, 0, u.s.s.sa
15169, 263, 2, 0, 19.37, 18.62, 0, 0.09, 23.29, 19.51, 18.63, 0, u.s.s.sa
15186, 263, 2, 0, 19.44, 18.62, 0, 0.09, 23.28, 19.51, 18.63, 0, u.s.s.sa
15203, 263, 2, 0, 19.37, 18.62, 0, 0.09, 23.28, 19.50, 18.62, 0, u.s.s.sa
15220, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.28, 19.50, 18.62, 0, u.s.s.sa
15238, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.27, 19.50, 18.62, 0, u.s.s.sa
15255, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.27, 19.49, 18.62, 0, u.s.s.sa
15272, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.27, 19.49, 18.61, 0, u.s.s.sa
15289, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.27, 19.48, 18.61, 0, u.s.s.sa
15307, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.26, 19.48, 18.61, 0, u.s.s.sa
15324, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.26, 19.47, 18.61, 0, u.s.s.sa
15341, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.26, 19.47, 18.61, 0, u.s.s.sa
15358, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.25, 19.47, 18.60, 0, u.s.s.sa
15376, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.25, 19.46, 18.60, 0, u.s.s.sa
15393, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.25, 19.46, 18.60, 0, u.s.s.sa
15410, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.25, 19.46, 18.60, 0, u.s.s.sa
15427, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.24, 19.46, 18.59, 0, u.s.s.sa
15444, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.24, 19.45, 18.59, 0, u.s.s.sa
15462, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.24, 19.45, 18.59, 0, u.s.s.sa
15479, 263, 2, 0, 19.37, 18.56, 0, 0.09, 23.23, 19.45, 18.59, 0, u.s.s.sa
15496, 263, 2, 0, 19.31, 18.56, -0.02, 0.09, 23.23, 19.44, 18.58, 0, u.s.s.sa
15513, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.23, 19.44, 18.58, 0, u.s.s.sa
15531, 263, 2, 0, 19.31, 18.56, 0.00, 0.09, 23.23, 19.44, 18.58, 0, u.s.s.sa
15548, 263, 2, 0, 19.31, 18.56, -0.02, 0.09, 23.22, 19.43, 18.58, 0, u.s.s.sa
15565, 263, 2, 0, 19.31, 18.56, -0.01, 0.09, 23.22, 19.43, 18.58, 0, u.s.s.sa
15582, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.22, 19.42, 18.58, 0, u.s.s.sa
15600, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.22, 19.42, 18.57, 0, u.s.s.sa
15617, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.41, 18.57, 0, u.s.s.sa
15634, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.41, 18.57, 0, u.s.s.sa
15651, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.40, 18.57, 0, u.s.s.sa
15669, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.40, 18.57, 0, u.s.s.sa
15686, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.39, 18.57, 0, u.s.s.sa
15703, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.39, 18.57, 0, u.s.s.sa
15720, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.39, 18.57, 0, u.s.s.sa
15738, 263, 2, 0, 19.31, 18.56, 0, 0.09, 23.21, 19.38, 18.57, 0, u.s.s.sa
15755, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.38, 18.57, 0, u.s.s.sa
15772, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.37, 18.57, 0, u.s.s.sa
15789, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.37, 18.57, 0, u.s.s.sa
15807, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.36, 18.57, 0, u.s.s.sa
15824, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.36, 18.57, 0, u.s.s.sa
15841, 263, 2, 0, 19.31, 18.50, 0, 0.09, 23.21, 19.35, 18.57, 0, u.s.s.sa
15858, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.35, 18.57, 0, u.s.s.sa
15876, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.34, 18.57, 0, u.s.s.sa
15893, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.34, 18.57, 0, u.s.s.sa
15910, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.34, 18.57, 0, u.s.s.sa
15927, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.33, 18.57, 0, u.s.s.sa
15945, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.33, 18.57, 0, u.s.s.sa
15962, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.33, 18.57, 0, u.s.s.sa
15979, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.33, 18.57, 0, u.s.s.sa
15996, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.32, 18.57, 0, u.s.s.sa
16014, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.32, 18.57, 0, u.s.s.sa
16031, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.32, 18.57, 0, u.s.s.sa
16048, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.32, 18.57, 0, u.s.s.sa
16065, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.31, 18.57, 0, u.s.s.sa
16083, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.31, 18.57, 0, u.s.s.sa
16100, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.31, 18.57, 0, u.s.s.sa
16117, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.31, 18.57, 0, u.s.s.sa
16134, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.31, 18.57, 0, u.s.s.sa
16152, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.30, 18.57, 0, u.s.s.sa
16169, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.30, 18.57, 0, u.s.s.sa
16186, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.30, 18.57, 0, u.sa
16192, 263, 2, 0, 19.25, 18.50, 0, 0.09, 23.21, 19.30, 18.57, 0, u.s.s.sa
16209, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.29, 18.57, 0, u.s.s.sa
16226, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.29, 18.57, 0, u.s.s.sa
16244, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.29, 18.57, 0, u.s.s.sa
16261, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.29, 18.57, 0, u.s.s.sa
16278, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.28, 18.57, 0, u.s.s.sa
16295, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.28, 18.57, 0, u.s.s.sa
16312, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.28, 18.57, 0, u.s.s.sa
16330, 263, 2, 0, 19.19, 18.44, 0, 0.09, 23.21, 19.28, 18.57, 0, u.s.s.sa
16347, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.28, 18.57, 0, u.s.s.sa
16364, 263, 2, 0, 19.19, 18.50, 0, 0.09, 23.21, 19.27, 18.57, 0, u.s.s.sa
16381, 263, 2, 0, 19.19, 18.44, 0, 0.09, 23.21, 19.27, 18.56, 0, u.s.s.sa
