FRONT_RADIATOR=1
TEMP_MIN=15
TEMP_MAX=50
REAL_MIN_DUTYCYCLE=0.70
REAL_MAX_DUTYCYCLE=1
DEACTIVATION_RATIO=1.25
cooldown=64

TIMESTEP_MAIN=5
TIMESTEP_UPDATE=15

SLOPE_INTERVAL=5
SLOPE_LENGTH=30
SLOPE_THRESHOLD=1
n_samples_fine=6
slope_samples_per_min=12
slope_max_per_sample=0.08

AVERAGING_INTERVAL=15
AVERAGING_LENGTH=900
n_samples_course=60

secondsElapsed,mem,status,cooldown,tempRadiator,tempAmbient,tempSlope,tempRatio,tempStop,tempRadAverage,tempAmbAverage,dutyCyclesa
899, 263, 4, 52, 32.31, 21.87, -0.03, 0.37, 27.47, 34.25, 21.98, 207, u.s.s.sa
916, 263, 4, 53, 32.25, 21.94, -0.02, 0.37, 27.47, 34.19, 21.98, 207, u.s.s.sa
933, 263, 4, 54, 32.19, 21.94, -0.03, 0.37, 27.47, 34.13, 21.98, 207, u.s.s.sa
950, 263, 4, 55, 32.13, 21.94, -0.02, 0.36, 27.47, 34.07, 21.98, 207, u.s.s.sa
968, 263, 4, 56, 32.06, 21.87, -0.03, 0.36, 27.47, 34.01, 21.97, 207, u.s.s.sa
985, 263, 4, 57, 32, 21.87, -0.02, 0.36, 27.47, 33.95, 21.97, 206, u.s.s.sa
1002, 263, 4, 58, 31.94, 21.87, -0.03, 0.36, 27.46, 33.88, 21.97, 206, u.s.s.sa
1019, 263, 4, 59, 31.87, 21.87, -0.02, 0.36, 27.46, 33.82, 21.97, 206, u.s.s.sa
1037, 263, 4, 60, 31.81, 21.87, -0.04, 0.35, 27.46, 33.75, 21.97, 206, u.s.s.sa
1054, 263, 4, 61, 31.75, 21.87, 0, 0.35, 27.45, 33.68, 21.96, 206, u.s.s.sa
1071, 263, 4, 62, 31.69, 21.87, 0, 0.35, 27.45, 33.62, 21.96, 206, u.s.s.sa
1088, 263, 4, 63, 31.62, 21.81, -0.04, 0.35, 27.45, 33.55, 21.96, 205, u.s.s.sa
1106, 263, 4, 64, 31.56, 21.87, 0, 0.34, 27.45, 33.49, 21.96, 205, u.s.s.sa
1123, 263, 4, 65, 31.50, 21.87, -0.03, 0.34, 27.44, 33.42, 21.95, 205, u.s.s.sa
1140, 263, 4, 66, 31.44, 21.87, -0.02, 0.34, 27.44, 33.36, 21.95, 205, u.s.s.sa
1157, 263, 4, 67, 31.37, 21.87, -0.04, 0.34, 27.44, 33.29, 21.95, 205, u.s.s.sa
1175, 263, 4, 68, 31.31, 21.87, 0, 0.34, 27.43, 33.23, 21.95, 205, u.s.s.sa
1192, 263, 4, 69, 31.25, 21.87, -0.04, 0.33, 27.43, 33.16, 21.95, 204, u.s.s.sa
1209, 263, 4, 70, 31.19, 21.94, 0, 0.33, 27.43, 33.09, 21.95, 204, u.s.s.sa
1227, 263, 4, 71, 31.12, 21.94, -0.04, 0.33, 27.43, 33.03, 21.95, 204, u.s.s.sa
1244, 263, 4, 72, 31.06, 21.87, 0, 0.33, 27.43, 32.96, 21.94, 204, u.s.s.sa
1261, 263, 4, 73, 31, 21.87, 0, 0.32, 27.43, 32.90, 21.94, 204, u.s.s.sa
1278, 263, 4, 74, 30.94, 21.87, -0.04, 0.32, 27.42, 32.83, 21.94, 203, u.s.s.sa
1296, 263, 4, 75, 30.87, 21.81, 0, 0.32, 27.42, 32.77, 21.94, 203, u.s.s.sa
1313, 263, 4, 76, 30.81, 21.81, -0.04, 0.32, 27.42, 32.70, 21.93, 203, u.s.s.sa
1330, 263, 4, 77, 30.75, 21.81, 0, 0.32, 27.41, 32.64, 21.93, 203, u.s.s.sa
1347, 263, 4, 78, 30.69, 21.81, -0.04, 0.31, 27.41, 32.57, 21.93, 203, u.s.s.sa
1365, 263, 4, 79, 30.62, 21.81, 0, 0.31, 27.41, 32.50, 21.93, 203, u.s.s.sa
1382, 263, 4, 80, 30.56, 21.81, -0.04, 0.31, 27.41, 32.44, 21.92, 203, u.s.s.sa
1399, 263, 4, 81, 30.50, 21.81, 0, 0.31, 27.40, 32.37, 21.92, 202, u.s.s.sa
1416, 263, 4, 82, 30.44, 21.81, -0.04, 0.31, 27.40, 32.31, 21.92, 202, u.s.s.sa
1434, 263, 4, 83, 30.37, 21.75, 0, 0.31, 27.39, 32.24, 21.92, 202, u.s.s.sa
1451, 263, 4, 84, 30.31, 21.81, 0, 0.30, 27.39, 32.18, 21.91, 202, u.s.s.sa
1468, 263, 4, 85, 30.25, 21.81, -0.03, 0.30, 27.39, 32.12, 21.91, 202, u.sa
1474, 263, 4, 86, 30.25, 21.81, -0.04, 0.30, 27.39, 32.05, 21.91, 202, u.s.s.sa
1491, 263, 4, 87, 30.19, 21.81, 0, 0.30, 27.38, 31.99, 21.91, 202, u.s.s.sa
1508, 263, 4, 88, 30.12, 21.75, -0.03, 0.30, 27.38, 31.93, 21.90, 202, u.s.s.sa
1526, 263, 4, 89, 30.06, 21.81, -0.02, 0.29, 27.37, 31.86, 21.90, 201, u.s.s.sa
1543, 263, 4, 90, 30, 21.81, -0.02, 0.29, 27.37, 31.80, 21.90, 201, u.s.s.sa
1560, 263, 4, 91, 29.94, 21.75, -0.03, 0.29, 27.37, 31.74, 21.89, 201, u.s.s.sa
1577, 263, 4, 92, 29.87, 21.75, -0.02, 0.29, 27.36, 31.67, 21.89, 201, u.s.s.sa
1595, 263, 4, 93, 29.81, 21.75, -0.03, 0.29, 27.35, 31.61, 21.88, 201, u.s.s.sa
1612, 263, 4, 94, 29.75, 21.69, -0.02, 0.28, 27.35, 31.55, 21.88, 201, u.s.s.sa
1629, 263, 4, 95, 29.75, 21.69, -0.03, 0.28, 27.34, 31.48, 21.87, 201, u.s.s.sa
1646, 263, 4, 96, 29.69, 21.69, 0, 0.28, 27.34, 31.42, 21.87, 200, u.s.s.sa
1664, 263, 4, 97, 29.62, 21.69, 0, 0.28, 27.33, 31.36, 21.87, 200, u.s.s.sa
1681, 263, 4, 98, 29.56, 21.69, -0.04, 0.28, 27.33, 31.30, 21.86, 200, u.s.s.sa
1698, 263, 4, 99, 29.50, 21.69, 0, 0.28, 27.32, 31.24, 21.86, 200, u.s.s.sa
1715, 263, 4, 100, 29.44, 21.69, -0.03, 0.27, 27.31, 31.18, 21.85, 200, u.s.s.sa
1733, 263, 4, 101, 29.37, 21.69, -0.02, 0.27, 27.31, 31.12, 21.85, 200, u.s.s.sa
1750, 263, 4, 102, 29.31, 21.62, -0.02, 0.27, 27.31, 31.05, 21.84, 200, u.s.s.sa
1767, 263, 4, 103, 29.25, 21.62, -0.03, 0.27, 27.30, 30.99, 21.84, 199, u.s.s.sa
1784, 263, 4, 104, 29.25, 21.62, 0, 0.27, 27.29, 30.94, 21.84, 199, u.s.s.sa
1802, 263, 4, 105, 29.19, 21.56, -0.04, 0.27, 27.29, 30.88, 21.83, 199, u.s.s.sa
1819, 263, 4, 106, 29.12, 21.56, 0, 0.27, 27.28, 30.82, 21.82, 199, u.s.s.sa
1836, 263, 4, 107, 29.06, 21.56, -0.03, 0.26, 27.27, 30.76, 21.82, 199, u.s.s.sa
1853, 263, 4, 108, 29, 21.56, -0.02, 0.26, 27.27, 30.70, 21.81, 199, u.s.s.sa
1871, 263, 4, 109, 28.94, 21.56, 0, 0.26, 27.26, 30.64, 21.81, 199, u.s.s.sa
1888, 263, 4, 110, 28.87, 21.50, -0.02, 0.26, 27.25, 30.58, 21.80, 199, u.s.s.sa
1905, 263, 4, 111, 28.81, 21.50, -0.03, 0.26, 27.24, 30.52, 21.79, 199, u.s.s.sa
1922, 263, 4, 112, 28.81, 21.50, 0, 0.26, 27.23, 30.46, 21.79, 199, u.s.s.sa
1940, 263, 4, 113, 28.75, 21.50, -0.04, 0.25, 27.22, 30.40, 21.78, 198, u.s.s.sa
1957, 263, 4, 114, 28.69, 21.50, 0, 0.25, 27.21, 30.35, 21.77, 198, u.s.s.sa
1974, 263, 4, 115, 28.62, 21.50, -0.03, 0.25, 27.20, 30.29, 21.76, 198, u.s.s.sa
1991, 263, 4, 116, 28.56, 21.50, -0.02, 0.25, 27.19, 30.23, 21.75, 198, u.s.s.sa
2009, 263, 4, 117, 28.56, 21.50, 0, 0.25, 27.18, 30.17, 21.75, 198, u.s.s.sa
2026, 263, 4, 118, 28.50, 21.50, -0.04, 0.25, 27.17, 30.11, 21.74, 198, u.s.s.sa
2043, 263, 4, 119, 28.44, 21.50, 0, 0.24, 27.17, 30.06, 21.73, 198, u.s.s.sa
2060, 263, 4, 120, 28.37, 21.50, -0.03, 0.24, 27.16, 30.00, 21.73, 197, u.s.s.sa
2078, 263, 4, 121, 28.31, 21.50, -0.02, 0.24, 27.15, 29.94, 21.72, 197, u.s.s.sa
2095, 263, 4, 122, 28.31, 21.44, 0, 0.24, 27.14, 29.89, 21.71, 197, u.s.s.sa
2112, 263, 4, 123, 28.25, 21.50, 0, 0.24, 27.13, 29.83, 21.70, 197, u.s.s.sa
2130, 263, 4, 124, 28.19, 21.44, -0.04, 0.24, 27.12, 29.77, 21.70, 197, u.s.s.sa
2147, 263, 4, 125, 28.12, 21.44, 0, 0.23, 27.11, 29.72, 21.69, 197, u.s.s.sa
2164, 263, 4, 126, 28.06, 21.44, -0.03, 0.23, 27.11, 29.66, 21.68, 197, u.s.s.sa
2181, 263, 4, 127, 28.06, 21.44, -0.02, 0.23, 27.10, 29.61, 21.68, 197, u.s.s.sa
2199, 263, 4, 128, 28, 21.44, 0, 0.23, 27.09, 29.55, 21.67, 196, u.s.s.sa
2216, 263, 4, 129, 27.94, 21.37, -0.03, 0.23, 27.08, 29.50, 21.66, 196, u.s.s.sa
2233, 263, 4, 130, 27.87, 21.37, -0.02, 0.23, 27.06, 29.44, 21.65, 196, u.s.s.sa
2250, 263, 4, 131, 27.81, 21.37, -0.02, 0.22, 27.05, 29.39, 21.64, 196, u.s.s.sa
2268, 263, 4, 132, 27.81, 21.37, -0.03, 0.22, 27.04, 29.33, 21.63, 196, u.s.s.sa
2285, 263, 4, 133, 27.75, 21.37, 0, 0.22, 27.03, 29.28, 21.62, 196, u.s.s.sa
2302, 263, 4, 134, 27.69, 21.37, -0.03, 0.22, 27.01, 29.22, 21.61, 196, u.s.s.sa
2319, 263, 4, 135, 27.62, 21.31, -0.02, 0.22, 27.00, 29.17, 21.60, 196, u.s.s.sa
2337, 263, 4, 136, 27.62, 21.31, 0, 0.22, 26.99, 29.11, 21.59, 196, u.s.s.sa
2354, 263, 4, 137, 27.56, 21.37, 0, 0.22, 26.98, 29.06, 21.58, 195, u.s.s.sa
2371, 263, 4, 138, 27.56, 21.37, 0, 0.22, 26.97, 29.01, 21.57, 195, u.s.s.sa
2388, 263, 4, 139, 27.50, 21.31, -0.04, 0.22, 26.96, 28.96, 21.57, 195, u.s.s.sa
2406, 263, 4, 140, 27.44, 21.31, 0, 0.21, 26.95, 28.91, 21.56, 195, u.s.s.sa
2423, 263, 4, 141, 27.37, 21.31, -0.02, 0.21, 26.93, 28.86, 21.55, 195, u.s.s.sa
2440, 263, 4, 142, 27.37, 21.31, -0.03, 0.21, 26.92, 28.81, 21.54, 195, u.s.s.sa
2457, 263, 4, 143, 27.31, 21.31, 0, 0.21, 26.91, 28.76, 21.53, 195, u.s.s.sa
2475, 263, 4, 144, 27.25, 21.31, -0.02, 0.21, 26.90, 28.70, 21.52, 195, u.s.s.sa
2492, 263, 4, 145, 27.25, 21.31, -0.03, 0.21, 26.89, 28.65, 21.51, 195, u.s.s.sa
2509, 263, 4, 146, 27.19, 21.25, 0, 0.21, 26.88, 28.60, 21.50, 195, u.s.s.sa
2526, 263, 4, 147, 27.12, 21.31, -0.02, 0.20, 26.87, 28.55, 21.49, 194, u.s.s.sa
2544, 263, 4, 148, 27.12, 21.25, -0.03, 0.20, 26.86, 28.50, 21.49, 195, u.s.s.sa
2561, 263, 4, 149, 27.06, 21.25, 0, 0.20, 26.85, 28.45, 21.48, 194, u.s.s.sa
2578, 263, 4, 150, 27, 21.25, -0.02, 0.20, 26.84, 28.40, 21.47, 194, u.s.s.sa
2595, 263, 4, 151, 26.94, 21.25, -0.03, 0.20, 26.83, 28.35, 21.46, 194, u.s.s.sa
2613, 263, 4, 152, 26.94, 21.25, 0, 0.20, 26.82, 28.30, 21.46, 194, u.s.s.sa
2630, 263, 4, 153, 26.87, 21.25, 0, 0.20, 26.81, 28.25, 21.45, 194, u.s.s.sa
2647, 263, 4, 154, 26.81, 21.25, -0.02, 0.19, 26.80, 28.20, 21.44, 194, u.s.s.sa
2664, 263, 4, 155, 26.81, 21.25, -0.03, 0.19, 26.79, 28.16, 21.43, 194, u.s.s.sa
2682, 263, 4, 156, 26.75, 21.25, 0, 0.19, 26.79, 28.11, 21.43, 194, u.s.s.sa
2699, 263, 4, 157, 26.75, 21.19, 0, 0.19, 26.77, 28.06, 21.42, 194, u.s.s.sa
2716, 263, 4, 158, 26.69, 21.25, -0.04, 0.19, 26.77, 28.01, 21.41, 193, u.s.s.sa
2733, 263, 4, 159, 26.62, 21.25, 0, 0.19, 26.76, 27.96, 21.41, 193, u.s.s.sa
2751, 263, 4, 160, 26.62, 21.25, 0, 0.19, 26.75, 27.92, 21.40, 193, u.s.s.sa
2768, 263, 4, 161, 26.56, 21.25, -0.04, 0.18, 26.74, 27.87, 21.39, 193, u.s.s.sa
2785, 263, 4, 162, 26.50, 21.25, 0, 0.18, 26.73, 27.82, 21.39, 193, u.s.s.sa
2802, 263, 4, 163, 26.50, 21.25, 0, 0.18, 26.73, 27.78, 21.38, 193, u.s.s.sa
2820, 263, 4, 164, 26.44, 21.19, -0.04, 0.18, 26.72, 27.73, 21.38, 193, u.s.s.sa
2837, 263, 4, 165, 26.44, 21.19, 0, 0.18, 26.71, 27.68, 21.37, 193, u.s.s.sa
2854, 263, 4, 166, 26.37, 21.19, 0, 0.18, 26.70, 27.64, 21.36, 193, u.s.s.sa
2871, 263, 4, 167, 26.31, 21.19, -0.02, 0.18, 26.69, 27.59, 21.35, 193, u.s.s.sa
2889, 263, 4, 168, 26.31, 21.25, -0.03, 0.18, 26.69, 27.55, 21.35, 192, u.s.s.sa
2906, 263, 4, 169, 26.25, 21.25, 0, 0.17, 26.68, 27.50, 21.35, 192, u.s.s.sa
2923, 263, 4, 170, 26.19, 21.25, 0, 0.17, 26.68, 27.46, 21.34, 192, u.s.s.sa
2940, 263, 4, 171, 26.19, 21.19, 0, 0.17, 26.67, 27.41, 21.34, 192, u.sa
2946, 263, 4, 172, 26.19, 21.25, 0, 0.17, 26.67, 27.37, 21.34, 192, u.s.s.sa
